title,car_brand_slug,car_model,body_type,fuel_type,year,horsepower,engine_capacity,engine,transmission,drivetrain,color,seats,doors,price_12_10000,price_12_15000,price_12_20000,price_24_10000,price_24_15000,price_24_20000,price_36_10000,price_36_15000,price_36_20000,new_car,available_immediately,most_popular,coming_soon,coming_soon_date,description,standard_equipment,additional_equipment
BMW X5 3.0d xDrive,bmw,X5,SUV,diesel,2022,286,2998,3.0d xDrive,automatic,AWD,Czarny metalik,5,5,2200,2250,2300,2100,2150,2200,2000,2050,2100,0,1,1,0,,"Luksusowy SUV z pełnym wyposażeniem","Klimatyzacja automatyczna; Skórzane fotele; System nawigacji; Kamera cofania","Pakiet M Sport; Oświetlenie LED; System audio Harman Kardon"
Toyota Corolla 1.8 Hybrid,toyota,Corolla,Sedan,hybrid,2023,122,1798,1.8 Hybrid,automatic,FWD,Biały,5,4,1500,1550,1600,1400,1450,1500,1300,1350,1400,1,1,0,0,,"Ekonomiczna hybryda idealna do miasta","Klimatyzacja; Radio; Bluetooth; Kamera cofania","Pakiet Safety Sense; Oświetlenie LED; Tapicerka Premium"
Volkswagen Golf 2.0 TDI,volkswagen,Golf,Hatchback,diesel,2021,150,1968,2.0 TDI,manual,FWD,Srebrny,5,5,1800,1850,1900,1700,1750,1800,1600,1650,1700,0,1,0,0,,"Popularny hatchback z silnikiem diesla","Klimatyzacja; Radio; Bluetooth","Pakiet R-Line; Oświetlenie LED; System audio premium"







